,id,type,channel,x,y,z,aiming_at,array
0,1.0,directional,33.0,1.991,4.498,1.424,s,
1,2.0,directional,34.0,1.523,0.883,1.044,n,
2,3.0,directional,35.0,4.287,2.069,1.074,w,
3,4.0,directional,36.0,4.619,3.669,1.504,w,
4,5.0,directional,37.0,1.523,0.723,1.184,s,
5,6.0,directional,38.0,4.447,2.069,1.214,e,
6,7.0,omnidirectional,16.0,3.651,1.004,1.38,,
7,8.0,omnidirectional,16.0,2.958,4.558,1.486,,
8,9.0,omnidirectional,16.0,0.892,3.013,1.403,,
9,1.0,diffuse,45.0,0.96,4.769,1.437,,
10,2.0,diffuse,46.0,0.876,0.868,1.43,,
11,3.0,diffuse,47.0,4.644,0.812,1.408,,
12,4.0,diffuse,48.0,4.692,4.735,1.429,,
13,1.0,mic,33.0,0.85771319,3.90990039,1.039,,1.0
14,2.0,mic,34.0,0.89503133,3.92430026,1.039,,1.0
15,3.0,mic,35.0,0.94167901,3.9423001,1.039,,1.0
16,4.0,mic,36.0,1.00232099,3.9656999,1.039,,1.0
17,5.0,mic,37.0,1.09561634,4.00169958,1.039,,1.0
18,6.0,mic,38.0,0.81689747,2.24411235,0.98,,2.0
19,7.0,mic,39.0,0.80321666,2.20652464,0.98,,2.0
20,8.0,mic,40.0,0.78611565,2.15954001,0.98,,2.0
21,9.0,mic,41.0,0.76388435,2.09845999,0.98,,2.0
22,10.0,mic,42.0,0.72968233,2.00449073,0.98,,2.0
23,11.0,mic,43.0,2.18273871,1.7263214,1.163,,3.0
24,12.0,mic,44.0,2.21808934,1.70760421,1.163,,3.0
25,13.0,mic,45.0,2.26227762,1.68420772,1.163,,3.0
26,14.0,mic,46.0,2.31972238,1.65379228,1.163,,3.0
27,15.0,mic,47.0,2.40809895,1.6069993,1.163,,3.0
28,16.0,mic,48.0,3.34254184,2.35745543,1.31,,4.0
29,17.0,mic,49.0,3.36391593,2.3912659,1.31,,4.0
30,18.0,mic,50.0,3.39063355,2.43352899,1.31,,4.0
31,19.0,mic,51.0,3.42536645,2.48847101,1.31,,4.0
32,20.0,mic,52.0,3.47880169,2.57299719,1.31,,4.0
33,21.0,mic,53.0,3.77147839,3.96471105,0.91,,5.0
34,22.0,mic,54.0,3.74389361,3.93574418,0.91,,5.0
35,23.0,mic,55.0,3.70941264,3.89953559,0.91,,5.0
36,24.0,mic,56.0,3.66458736,3.85246441,0.91,,5.0
37,25.0,mic,57.0,3.59562541,3.78004723,0.91,,5.0
38,26.0,mic,58.0,3.12959949,3.37230619,1.46,,6.0
39,27.0,mic,59.0,3.09740374,3.39604294,1.46,,6.0
40,28.0,mic,60.0,3.05715905,3.42571389,1.46,,6.0
41,29.0,mic,61.0,3.00484095,3.46428611,1.46,,6.0
42,30.0,mic,62.0,2.92435157,3.523628,1.46,,6.0
43,1.0,array,,0.972,3.954,1.039,,
44,2.0,array,,0.775,2.129,0.98,,
45,3.0,array,,2.291,1.669,1.163,,
46,4.0,array,,3.408,2.461,1.31,,
47,5.0,array,,3.687,3.876,0.91,,
48,6.0,array,,3.031,3.445,1.46,,
