,dataset,data,n_mics,target,thr_smpl,mean_f,mean_p,mean_r,mean_e
0,011000,synt,2.0,0.0,1.0,0.7482517482517482,0.9166666666666667,0.6428571428571428,0.20234771100556442
1,011000,synt,2.0,0.0,3.0,0.7482517482517482,0.9166666666666667,0.6428571428571428,0.20234771100556442
2,011000,synt,2.0,0.0,5.0,0.7482517482517482,0.9166666666666667,0.6428571428571428,0.20234771100556442
3,011000,real,2.0,0.0,1.0,0.0555138784696174,0.034722222222222224,0.14285714285714285,0.16172193309358818
4,011000,real,2.0,0.0,3.0,0.0555138784696174,0.034722222222222224,0.14285714285714285,0.16172193309358818
5,011000,real,2.0,0.0,5.0,0.09302325581395349,0.05555555555555555,0.2857142857142857,3.4109404948441813
6,011000,synt,4.0,0.0,1.0,0.7637362637362637,0.7797619047619047,0.75,0.28225713337480896
7,011000,synt,4.0,0.0,3.0,0.7637362637362637,0.7797619047619047,0.75,0.28225713337480896
8,011000,synt,4.0,0.0,5.0,0.7994505494505495,0.8154761904761905,0.7857142857142858,0.7482070463316732
9,011000,real,4.0,0.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.24781072077900035
10,011000,real,4.0,0.0,3.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.5897921152169943
11,011000,real,4.0,0.0,5.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.5897921152169943
12,011000,synt,6.0,0.0,1.0,0.8260073260073261,0.873015873015873,0.7857142857142857,0.2763826251100123
13,011000,synt,6.0,0.0,3.0,0.8260073260073261,0.873015873015873,0.7857142857142857,0.2763826251100123
14,011000,synt,6.0,0.0,5.0,0.8498168498168498,0.8968253968253969,0.8095238095238094,0.5558213735196059
15,011000,real,6.0,0.0,1.0,0.11904761904761903,0.11904761904761903,0.11904761904761903,0.37923263534464513
16,011000,real,6.0,0.0,3.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0402546084629778
17,011000,real,6.0,0.0,5.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.9083821787322393
18,011000,synt,2.0,1.0,1.0,0.6636363636363636,1.0,0.5,0.2825328525541323
19,011000,synt,2.0,1.0,3.0,0.6636363636363636,1.0,0.5,0.2825328525541323
20,011000,synt,2.0,1.0,5.0,0.6636363636363636,1.0,0.5,0.2825328525541323
21,011000,real,2.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.07853251921642478
22,011000,real,2.0,1.0,3.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.24284770522079
23,011000,real,2.0,1.0,5.0,0.6428571428571428,0.6428571428571428,0.6428571428571428,1.9763304843524923
24,011000,synt,4.0,1.0,1.0,0.8709207459207459,1.0,0.7857142857142857,0.23794268177805045
25,011000,synt,4.0,1.0,3.0,0.8709207459207459,1.0,0.7857142857142857,0.42219647800093235
26,011000,synt,4.0,1.0,5.0,0.8709207459207459,1.0,0.7857142857142857,0.42219647800093235
27,011000,real,4.0,1.0,1.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.23678359609814947
28,011000,real,4.0,1.0,3.0,0.17857142857142855,0.17857142857142855,0.17857142857142855,1.3240363775973905
29,011000,real,4.0,1.0,5.0,0.17857142857142855,0.17857142857142855,0.17857142857142855,2.0659113607641584
30,011000,synt,6.0,1.0,1.0,0.8663281163281162,0.9523809523809522,0.8095238095238094,0.24882389748667685
31,011000,synt,6.0,1.0,3.0,0.8663281163281162,0.9523809523809522,0.8095238095238094,0.3716597616352648
32,011000,synt,6.0,1.0,5.0,0.8663281163281162,0.9523809523809522,0.8095238095238094,0.3716597616352648
33,011000,real,6.0,1.0,1.0,0.11904761904761903,0.11904761904761903,0.11904761904761903,0.3432153897806792
34,011000,real,6.0,1.0,3.0,0.23809523809523805,0.23809523809523805,0.23809523809523805,1.7343680045731098
35,011000,real,6.0,1.0,5.0,0.28571428571428564,0.28571428571428564,0.28571428571428564,2.703636778699105
36,011000,synt,2.0,2.0,1.0,0.6833333333333333,0.5817307692307692,0.8571428571428572,0.2886528118458104
37,011000,synt,2.0,2.0,3.0,0.6833333333333333,0.5817307692307692,0.8571428571428572,0.5711730986033339
38,011000,synt,2.0,2.0,5.0,0.6833333333333333,0.5817307692307692,0.8571428571428572,0.5711730986033339
39,011000,real,2.0,2.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2399620158781985
40,011000,real,2.0,2.0,3.0,0.3571428571428571,0.3571428571428571,0.3571428571428571,1.1831172641414605
41,011000,real,2.0,2.0,5.0,0.5,0.5,0.5,2.2415743797054137
42,011000,synt,4.0,2.0,1.0,0.1488095238095238,0.15714285714285714,0.14285714285714285,0.26007913660835885
43,011000,synt,4.0,2.0,3.0,0.2202380952380952,0.22857142857142854,0.21428571428571425,1.3242163646468048
44,011000,synt,4.0,2.0,5.0,0.3273809523809524,0.3357142857142857,0.3214285714285714,2.3991517174019883
45,011000,real,4.0,2.0,1.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0
46,011000,real,4.0,2.0,3.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.6496526039798536
47,011000,real,4.0,2.0,5.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.6496526039798536
48,011000,synt,6.0,2.0,1.0,0.8831168831168831,0.9285714285714285,0.8571428571428571,0.39973120513251653
49,011000,synt,6.0,2.0,3.0,0.8831168831168831,0.9285714285714285,0.8571428571428571,0.39973120513251653
50,011000,synt,6.0,2.0,5.0,0.906926406926407,0.9523809523809524,0.8809523809523809,0.5386237991388151
51,011000,real,6.0,2.0,1.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.3909110794009365
52,011000,real,6.0,2.0,3.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,1.57901039545538
53,011000,real,6.0,2.0,5.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,1.57901039545538
54,011000,synt,2.0,3.0,1.0,0.08333333333333333,0.1,0.07142857142857142,0.0
