,dataset,data,n_mics,target,thr_smpl,lambda,mean_f,mean_p,mean_r,mean_e
0,011000,synt,2.0,0.0,1.0,0.005,0.0,0.0,0.0,
1,011000,synt,2.0,0.0,1.0,0.01,0.0,0.0,0.0,
2,011000,synt,2.0,0.0,1.0,0.02,0.0,0.0,0.0,
3,011000,synt,2.0,0.0,1.0,0.05,0.0,0.0,0.0,
4,011000,synt,2.0,0.0,3.0,0.005,0.0,0.0,0.0,
5,011000,synt,2.0,0.0,3.0,0.01,0.0,0.0,0.0,
6,011000,synt,2.0,0.0,3.0,0.02,0.0,0.0,0.0,
7,011000,synt,2.0,0.0,3.0,0.05,0.0,0.0,0.0,
8,011000,synt,2.0,0.0,5.0,0.005,0.0,0.0,0.0,
9,011000,synt,2.0,0.0,5.0,0.01,0.0,0.0,0.0,
10,011000,synt,2.0,0.0,5.0,0.02,0.0,0.0,0.0,
11,011000,synt,2.0,0.0,5.0,0.05,0.0,0.0,0.0,
12,011000,real,2.0,0.0,1.0,0.005,0.0,0.0,0.0,
13,011000,real,2.0,0.0,1.0,0.01,0.0,0.0,0.0,
14,011000,real,2.0,0.0,1.0,0.02,0.0,0.0,0.0,
15,011000,real,2.0,0.0,1.0,0.05,0.0,0.0,0.0,
16,011000,real,2.0,0.0,3.0,0.005,0.0,0.0,0.0,
17,011000,real,2.0,0.0,3.0,0.01,0.0,0.0,0.0,
18,011000,real,2.0,0.0,3.0,0.02,0.0,0.0,0.0,
19,011000,real,2.0,0.0,3.0,0.05,0.0,0.0,0.0,
20,011000,real,2.0,0.0,5.0,0.005,0.0,0.0,0.0,
21,011000,real,2.0,0.0,5.0,0.01,0.0,0.0,0.0,
22,011000,real,2.0,0.0,5.0,0.02,0.0,0.0,0.0,
23,011000,real,2.0,0.0,5.0,0.05,0.0,0.0,0.0,
24,011000,synt,2.0,1.0,1.0,0.005,0.0,0.0,0.0,
25,011000,synt,2.0,1.0,1.0,0.01,0.0,0.0,0.0,
26,011000,synt,2.0,1.0,1.0,0.02,0.0,0.0,0.0,
27,011000,synt,2.0,1.0,1.0,0.05,0.0,0.0,0.0,
28,011000,synt,2.0,1.0,3.0,0.005,0.0,0.0,0.0,
29,011000,synt,2.0,1.0,3.0,0.01,0.0,0.0,0.0,
30,011000,synt,2.0,1.0,3.0,0.02,0.0,0.0,0.0,
31,011000,synt,2.0,1.0,3.0,0.05,0.0,0.0,0.0,
32,011000,synt,2.0,1.0,5.0,0.005,0.0,0.0,0.0,
33,011000,synt,2.0,1.0,5.0,0.01,0.0,0.0,0.0,
34,011000,synt,2.0,1.0,5.0,0.02,0.0,0.0,0.0,
35,011000,synt,2.0,1.0,5.0,0.05,0.0,0.0,0.0,
36,011000,real,2.0,1.0,1.0,0.005,0.0,0.0,0.0,
37,011000,real,2.0,1.0,1.0,0.01,0.0,0.0,0.0,
38,011000,real,2.0,1.0,1.0,0.02,0.0,0.0,0.0,
39,011000,real,2.0,1.0,1.0,0.05,0.0,0.0,0.0,
40,011000,real,2.0,1.0,3.0,0.005,0.0,0.0,0.0,
41,011000,real,2.0,1.0,3.0,0.01,0.0,0.0,0.0,
42,011000,real,2.0,1.0,3.0,0.02,0.0,0.0,0.0,
43,011000,real,2.0,1.0,3.0,0.05,0.0,0.0,0.0,
44,011000,real,2.0,1.0,5.0,0.005,0.0,0.0,0.0,
45,011000,real,2.0,1.0,5.0,0.01,0.0,0.0,0.0,
46,011000,real,2.0,1.0,5.0,0.02,0.0,0.0,0.0,
47,011000,real,2.0,1.0,5.0,0.05,0.0,0.0,0.0,
